pizzanev	darab	felvetel	kiszallitas
Popey	2	2005.11.12 11:21:00	2005.11.12 12:11:00
Kagylós	1	2005.11.12 11:41:00	2005.11.12 12:26:00
Barbecue chicken	1	2005.11.12 12:38:00	2005.11.12 13:02:00
Röfi	1	2005.11.12 13:18:00	2005.11.12 13:58:00
Tündi kedvence	1	2005.11.12 13:44:00	2005.11.12 16:53:00
Hercegnő	2	2005.11.12 14:10:00	2005.11.12 14:57:00
Mixi	1	2005.11.12 14:20:00	2005.11.12 16:25:00
Ráki	3	2005.11.12 14:51:00	2005.11.12 17:06:00
Szőke kapitány	1	2005.11.12 15:13:00	2005.11.12 17:12:00
Kagylós	1	2005.11.12 15:42:00	2005.11.12 16:48:00
Sonkás	1	2005.11.12 16:31:00	2005.11.12 16:53:00
Excellent	1	2005.11.12 17:01:00	2005.11.12 19:41:00
Máj Fair Lady	2	2005.11.12 17:58:00	2005.11.12 20:39:00
Frankfurti	1	2005.11.12 18:48:00	2005.11.12 21:45:00
Pástétomos	1	2005.11.12 19:15:00	2005.11.12 21:04:00
Máj Fair Lady	1	2005.11.12 19:45:00	2005.11.12 21:46:00
Tüzes halál	2	2005.11.12 19:54:00	2005.11.12 22:48:00
Hellas	1	2005.11.12 20:25:00	2005.11.12 23:15:00
Lecsó	1	2005.11.12 21:21:00	2005.11.13 0:31:00
Mamma fia	1	2005.11.12 21:41:00	2005.11.13 0:06:00
Country	3	2005.11.12 22:18:00	2005.11.13 0:01:00
Tenger gyümölcsei	1	2005.11.12 22:36:00	2005.11.13 0:38:00
Kívánság	1	2005.11.12 23:02:00	2005.11.13 0:53:00
Hamm	3	2005.11.12 23:47:00	2005.11.13 0:23:00
Magvas	1	2005.11.13 0:44:00	2005.11.13 2:14:00
Szardíniás	1	2005.11.13 0:56:00	2005.11.13 2:29:00
Csupa sajt	2	2005.11.13 1:22:00	2005.11.13 4:33:00
Sajtos	1	2005.11.13 1:31:00	2005.11.13 4:24:00
Szerzetes	1	2005.11.13 1:35:00	2005.11.13 4:01:00
HamAndEggs	1	2005.11.13 1:38:00	2005.11.13 2:09:00
Szalámis	1	2005.11.13 1:39:00	2005.11.13 3:25:00
Kagylós	2	2005.11.13 2:03:00	2005.11.13 2:50:00
Jázmin álma	1	2005.11.13 2:29:00	2005.11.13 4:27:00
Magvas	1	2005.11.13 2:37:00	2005.11.13 3:38:00
Sajtos	1	2005.11.13 3:23:00	2005.11.13 4:47:00
Szardíniás	1	2005.11.13 4:19:00	2005.11.13 5:17:00
Sajtos	1	2005.11.13 4:32:00	2005.11.13 6:42:00
Gino	2	2005.11.13 5:28:00	2005.11.13 6:30:00
Ínyenc	1	2005.11.13 6:16:00	2005.11.13 9:14:00
Juhtúrós	1	2005.11.13 6:48:00	2005.11.13 7:39:00
Caribi	1	2005.11.13 7:39:00	2005.11.13 8:05:00
Kagylós	1	2005.11.13 8:25:00	2005.11.13 9:25:00
Babos	1	2005.11.13 9:03:00	2005.11.13 9:34:00
Babos	1	2005.11.13 9:27:00	2005.11.13 10:50:00
Son-go-ku	1	2005.11.13 9:56:00	2005.11.13 11:57:00
HamAndEggs	1	2005.11.13 10:17:00	2005.11.13 11:14:00
Szalámis	2	2005.11.13 11:03:00	2005.11.13 13:11:00
Gyros pizza	1	2005.11.13 11:12:00	2005.11.13 12:03:00
Máj Fair Lady	3	2005.11.13 11:46:00	2005.11.13 14:00:00
Pipis	1	2005.11.13 12:27:00	2005.11.13 14:40:00
Quattro	2	2005.11.13 12:54:00	2005.11.13 13:45:00
Maffiózó	2	2005.11.13 13:18:00	2005.11.13 15:54:00
Mamma fia	1	2005.11.13 13:25:00	2005.11.13 16:36:00
Son-go-ku	1	2005.11.13 14:15:00	2005.11.13 16:08:00
Kívánság	1	2005.11.13 15:05:00	2005.11.13 15:34:00
Góré	1	2005.11.13 15:44:00	2005.11.13 17:09:00
Csabesz	1	2005.11.13 16:16:00	2005.11.13 17:18:00
Nordic	1	2005.11.13 16:58:00	2005.11.13 19:00:00
Magvas	1	2005.11.13 17:27:00	2005.11.13 19:45:00
Barbecue chicken	1	2005.11.13 17:52:00	2005.11.13 19:06:00
Sajtos	1	2005.11.13 18:39:00	2005.11.13 20:13:00
Quattro	1	2005.11.13 19:33:00	2005.11.13 21:32:00
Popey	3	2005.11.13 20:29:00	2005.11.13 22:12:00
Mexikói	2	2005.11.13 21:15:00	2005.11.13 23:03:00
Babos	1	2005.11.13 22:09:00	2005.11.14 0:32:00
Kétszínű	1	2005.11.13 22:52:00	2005.11.14 0:30:00
Kétszínű	1	2005.11.13 22:55:00	2005.11.14 0:45:00
Tonhalas	2	2005.11.13 23:38:00	2005.11.14 1:02:00
Pacalos	1	2005.11.14 0:02:00	2005.11.14 2:00:00
Szőke kapitány	1	2005.11.14 0:52:00	2005.11.14 3:02:00
Erős János	1	2005.11.14 1:14:00	2005.11.14 2:34:00
Magyaros	1	2005.11.14 1:43:00	2005.11.14 4:21:00
Lecsó	2	2005.11.14 1:48:00	2005.11.14 4:58:00
Csabesz	1	2005.11.14 2:25:00	2005.11.14 2:54:00
Mixi	1	2005.11.14 2:45:00	2005.11.14 4:15:00
Mexikói	1	2005.11.14 3:27:00	2005.11.14 6:34:00
Caribi	1	2005.11.14 3:29:00	2005.11.14 4:29:00
Ráki	3	2005.11.14 4:21:00	2005.11.14 4:42:00
Mamma fia	3	2005.11.14 5:09:00	2005.11.14 7:49:00
Nordic	1	2005.11.14 5:56:00	2005.11.14 7:39:00
Szerzetes	1	2005.11.14 6:34:00	2005.11.14 7:23:00
Hawaii	1	2005.11.14 6:51:00	2005.11.14 8:37:00
Szalámis	1	2005.11.14 7:17:00	2005.11.14 9:00:00
Csabesz	1	2005.11.14 7:57:00	2005.11.14 9:56:00
Kolbászos	1	2005.11.14 8:28:00	2005.11.14 8:56:00
Magvas	1	2005.11.14 9:21:00	2005.11.14 11:15:00
Tenger gyümölcsei	1	2005.11.14 9:54:00	2005.11.14 10:45:00
Lagúna	1	2005.11.14 10:09:00	2005.11.14 12:53:00
Kívánság	1	2005.11.14 10:56:00	2005.11.14 14:02:00
Kagylós	1	2005.11.14 11:30:00	2005.11.14 11:58:00
So-ku	1	2005.11.14 12:04:00	2005.11.14 14:02:00
Country	2	2005.11.14 12:41:00	2005.11.14 15:41:00
Mamma fia	1	2005.11.14 12:47:00	2005.11.14 15:38:00
Törperős	1	2005.11.14 13:22:00	2005.11.14 14:11:00
Hawaii	1	2005.11.14 13:49:00	2005.11.14 16:41:00
Zöldike	1	2005.11.14 14:41:00	2005.11.14 16:48:00
Szőke kapitány	1	2005.11.14 15:33:00	2005.11.14 16:40:00
Pacalos	1	2005.11.14 16:03:00	2005.11.14 18:22:00
Máj Fair Lady	1	2005.11.14 16:21:00	2005.11.14 19:17:00
Tonhalas	1	2005.11.14 16:49:00	2005.11.14 19:38:00
Tenger gyümölcsei	3	2005.11.14 17:23:00	2005.11.14 18:51:00
Country	2	2005.11.14 17:30:00	2005.11.14 19:53:00
Kagylós	3	2005.11.14 17:43:00	2005.11.14 20:31:00
Nordic	1	2005.11.14 17:46:00	2005.11.14 19:25:00
So-ku	1	2005.11.14 18:33:00	2005.11.14 19:43:00
Góré	1	2005.11.14 19:05:00	2005.11.14 20:05:00
Country	1	2005.11.14 19:51:00	2005.11.14 22:36:00
Tündi kedvence	1	2005.11.14 20:20:00	2005.11.14 23:12:00
Lagúna	1	2005.11.14 21:04:00	2005.11.14 23:13:00
So-ku	1	2005.11.14 21:08:00	2005.11.14 22:43:00
Kagylós	3	2005.11.14 21:51:00	2005.11.14 23:33:00
Lagúna	2	2005.11.14 22:43:00	2005.11.15 0:13:00
Ínyenc	1	2005.11.14 22:57:00	2005.11.15 0:33:00
Szalámis	1	2005.11.14 23:05:00	2005.11.15 1:42:00
Excellent	2	2005.11.14 23:58:00	2005.11.15 1:49:00
Tonhalas	1	2005.11.15 0:13:00	2005.11.15 1:35:00
Röfi	1	2005.11.15 0:54:00	2005.11.15 3:06:00
Popey	1	2005.11.15 1:17:00	2005.11.15 3:40:00
Juhtúrós	1	2005.11.15 1:53:00	2005.11.15 3:00:00
Nikó	2	2005.11.15 1:59:00	2005.11.15 4:21:00
Szardíniás	1	2005.11.15 2:06:00	2005.11.15 4:01:00
Country	3	2005.11.15 2:09:00	2005.11.15 3:07:00
Zöldike	1	2005.11.15 2:14:00	2005.11.15 4:44:00
Erős János	1	2005.11.15 3:09:00	2005.11.15 4:56:00
Jázmin álma	1	2005.11.15 3:23:00	2005.11.15 4:24:00
Pásztor	1	2005.11.15 3:44:00	2005.11.15 6:21:00
Ráki	3	2005.11.15 4:03:00	2005.11.15 7:00:00
Zöldike	3	2005.11.15 4:04:00	2005.11.15 5:00:00
Juhtúrós	1	2005.11.15 4:17:00	2005.11.15 4:59:00
Kiadós	1	2005.11.15 4:18:00	2005.11.15 6:35:00
Nyuszó-Muszó	1	2005.11.15 4:29:00	2005.11.15 7:00:00
Magyaros	3	2005.11.15 5:24:00	2005.11.15 6:35:00
Törperős	1	2005.11.15 6:13:00	2005.11.15 6:47:00
Csupa sajt	1	2005.11.15 7:05:00	2005.11.15 8:19:00
Pásztor	3	2005.11.15 7:19:00	2005.11.15 9:46:00
Babos	1	2005.11.15 7:28:00	2005.11.15 9:21:00
Kagylós	1	2005.11.15 7:58:00	2005.11.15 10:55:00
Mixi	1	2005.11.15 8:29:00	2005.11.15 9:09:00
Áfonyás	1	2005.11.15 9:02:00	2005.11.15 9:34:00
Mexikói	3	2005.11.15 9:49:00	2005.11.15 10:54:00
Francia	1	2005.11.15 10:36:00	2005.11.15 12:11:00
Tonhalas	3	2005.11.15 10:58:00	2005.11.15 13:53:00
Kívánság	1	2005.11.15 11:28:00	2005.11.15 13:07:00
Hercegnő	1	2005.11.15 12:04:00	2005.11.15 14:35:00
Maffiózó	2	2005.11.15 12:29:00	2005.11.15 14:28:00
Frankfurti	1	2005.11.15 13:10:00	2005.11.15 13:39:00
Ínyenc	3	2005.11.15 13:58:00	2005.11.15 15:43:00
Tenger gyümölcsei	1	2005.11.15 14:21:00	2005.11.15 16:11:00
Hamm	1	2005.11.15 15:12:00	2005.11.15 15:36:00
Máj Fair Lady	1	2005.11.15 16:00:00	2005.11.15 18:52:00
Spencer	3	2005.11.15 16:46:00	2005.11.15 18:13:00
Pásztor	1	2005.11.15 17:35:00	2005.11.15 18:45:00
Sajtos	3	2005.11.15 18:22:00	2005.11.15 19:12:00
Ilike	1	2005.11.15 18:31:00	2005.11.15 20:54:00
Erős János	1	2005.11.15 18:44:00	2005.11.15 19:31:00
Pipis	1	2005.11.15 19:36:00	2005.11.15 22:43:00
Hamm	1	2005.11.15 19:45:00	2005.11.15 22:43:00
Gyros pizza	1	2005.11.15 19:52:00	2005.11.15 22:57:00
Görög	1	2005.11.15 20:40:00	2005.11.15 21:33:00
Magvas	1	2005.11.15 21:38:00	2005.11.15 22:06:00
Pacalos	2	2005.11.15 22:03:00	2005.11.15 23:06:00
Jázmin álma	1	2005.11.15 22:36:00	2005.11.15 23:15:00
Erdő kapitánya	1	2005.11.15 23:27:00	2005.11.16 2:26:00
Hawaii	1	2005.11.16 0:06:00	2005.11.16 1:40:00
Erős János	1	2005.11.16 0:12:00	2005.11.16 1:50:00
Excellent	3	2005.11.16 0:45:00	2005.11.16 2:44:00
Tonhalas	1	2005.11.16 1:26:00	2005.11.16 2:28:00
Görög	1	2005.11.16 1:30:00	2005.11.16 4:36:00
Röfi	1	2005.11.16 1:57:00	2005.11.16 4:33:00
Tenger gyümölcsei	3	2005.11.16 2:22:00	2005.11.16 5:03:00
Vega	1	2005.11.16 2:35:00	2005.11.16 3:34:00
Kétszínű	1	2005.11.16 3:15:00	2005.11.16 6:27:00
Görög	1	2005.11.16 3:39:00	2005.11.16 6:13:00
Quattro	1	2005.11.16 4:07:00	2005.11.16 6:47:00
Popey	1	2005.11.16 4:42:00	2005.11.16 6:51:00
Spencer	1	2005.11.16 5:07:00	2005.11.16 7:20:00
Lecsó	1	2005.11.16 5:22:00	2005.11.16 7:22:00
Pásztor	1	2005.11.16 5:57:00	2005.11.16 8:19:00
Sonkás	1	2005.11.16 6:37:00	2005.11.16 9:00:00
Góré	1	2005.11.16 7:16:00	2005.11.16 10:28:00
Máj Fair Lady	1	2005.11.16 7:50:00	2005.11.16 10:33:00
Pacalos	1	2005.11.16 8:08:00	2005.11.16 9:34:00
Csupa sajt	1	2005.11.16 9:02:00	2005.11.16 11:41:00
Excellent	1	2005.11.16 9:36:00	2005.11.16 12:24:00
Zöldike	1	2005.11.16 10:02:00	2005.11.16 12:10:00
Tonhalas	1	2005.11.16 10:40:00	2005.11.16 13:32:00
Góré	3	2005.11.16 10:59:00	2005.11.16 13:00:00
Hellas	1	2005.11.16 11:51:00	2005.11.16 12:45:00
Magvas	1	2005.11.16 12:41:00	2005.11.16 15:22:00
Babos	3	2005.11.16 13:30:00	2005.11.16 16:36:00
Tenger gyümölcsei	1	2005.11.16 14:08:00	2005.11.16 15:45:00
Hellas	3	2005.11.16 14:40:00	2005.11.16 16:33:00
Rettenetes magyar	2	2005.11.16 15:02:00	2005.11.16 16:46:00
Kolbászos	1	2005.11.16 15:40:00	2005.11.16 18:36:00
Mexikói	1	2005.11.16 16:05:00	2005.11.16 18:20:00
Kívánság	3	2005.11.16 16:42:00	2005.11.16 18:03:00
Pástétomos	1	2005.11.16 16:57:00	2005.11.16 20:05:00
Francia	1	2005.11.16 17:07:00	2005.11.16 18:28:00
Tüzes halál	1	2005.11.16 17:29:00	2005.11.16 19:50:00
Betyáros	1	2005.11.16 17:55:00	2005.11.16 20:21:00
Gino	1	2005.11.16 18:12:00	2005.11.16 19:54:00
Tüzes halál	1	2005.11.16 18:56:00	2005.11.16 19:41:00
Jobbágy	1	2005.11.16 19:53:00	2005.11.16 21:21:00
Pástétomos	3	2005.11.16 20:21:00	2005.11.16 21:43:00
Király pizza	1	2005.11.16 20:47:00	2005.11.16 21:21:00
Hawaii	1	2005.11.16 21:11:00	2005.11.16 23:01:00
Kiadós	1	2005.11.16 22:00:00	2005.11.16 23:14:00
Spanyol	1	2005.11.16 22:21:00	2005.11.17 1:22:00
Nordic	1	2005.11.16 22:47:00	2005.11.17 0:19:00
Zöldike	1	2005.11.16 23:23:00	2005.11.17 0:00:00
Gino	1	2005.11.16 23:48:00	2005.11.17 1:18:00
Sonkás	1	2005.11.16 23:49:00	2005.11.17 1:03:00
Hercegnő	1	2005.11.17 0:30:00	2005.11.17 2:25:00
Ráki	1	2005.11.17 1:12:00	2005.11.17 1:37:00
Góré	1	2005.11.17 1:28:00	2005.11.17 2:06:00
Pástétomos	1	2005.11.17 1:38:00	2005.11.17 2:11:00
Vega	1	2005.11.17 2:07:00	2005.11.17 4:54:00
Nyuszó-Muszó	1	2005.11.17 3:04:00	2005.11.17 4:01:00
Ínyenc	1	2005.11.17 4:01:00	2005.11.17 6:53:00
Ínyenc	1	2005.11.17 4:20:00	2005.11.17 6:51:00
Hellas	2	2005.11.17 4:50:00	2005.11.17 7:48:00
Quattro	3	2005.11.17 5:35:00	2005.11.17 6:19:00
Nyuszó-Muszó	1	2005.11.17 5:55:00	2005.11.17 9:07:00
Rettenetes magyar	3	2005.11.17 6:20:00	2005.11.17 8:51:00
Pipis	1	2005.11.17 6:39:00	2005.11.17 9:45:00
Quattro	1	2005.11.17 7:27:00	2005.11.17 9:23:00
HamAndEggs	1	2005.11.17 7:30:00	2005.11.17 9:05:00
Jázmin álma	1	2005.11.17 7:54:00	2005.11.17 10:32:00
Góré	1	2005.11.17 8:27:00	2005.11.17 11:14:00
Gombás	1	2005.11.17 8:38:00	2005.11.17 10:46:00
Frankfurti	3	2005.11.17 9:30:00	2005.11.17 10:40:00
Pipis	1	2005.11.17 9:51:00	2005.11.17 10:27:00
Szőke kapitány	1	2005.11.17 10:13:00	2005.11.17 13:19:00
Mamma fia	1	2005.11.17 10:57:00	2005.11.17 11:26:00
HamAndEggs	1	2005.11.17 11:09:00	2005.11.17 12:47:00
Mexikói	1	2005.11.17 11:38:00	2005.11.17 14:20:00
Szőke kapitány	1	2005.11.17 12:02:00	2005.11.17 15:05:00
Pásztor	2	2005.11.17 12:39:00	2005.11.17 13:21:00
Röfi	1	2005.11.17 13:31:00	2005.11.17 15:16:00
Szalámis	1	2005.11.17 13:59:00	2005.11.17 14:20:00
Füstös	1	2005.11.17 14:25:00	2005.11.17 15:11:00
Rettenetes magyar	3	2005.11.17 14:37:00	2005.11.17 16:28:00
Tonhalas	1	2005.11.17 15:16:00	2005.11.17 15:43:00
Jobbágy	1	2005.11.17 15:52:00	2005.11.17 18:58:00
Jázmin álma	1	2005.11.17 16:25:00	2005.11.17 19:06:00
Country	1	2005.11.17 16:50:00	2005.11.17 17:23:00
Rettenetes magyar	1	2005.11.17 16:58:00	2005.11.17 17:51:00
Ráki	1	2005.11.17 17:55:00	2005.11.17 19:44:00
Főnök kedvence	1	2005.11.17 18:34:00	2005.11.17 20:24:00
Maffiózó	1	2005.11.17 19:18:00	2005.11.17 21:07:00
HamAndEggs	1	2005.11.17 19:53:00	2005.11.17 21:51:00
Spanyol	1	2005.11.17 20:13:00	2005.11.17 21:22:00
Barbecue chicken	1	2005.11.17 20:24:00	2005.11.17 21:25:00
Jobbágy	1	2005.11.17 20:55:00	2005.11.17 23:48:00
Szőke kapitány	3	2005.11.17 21:05:00	2005.11.17 21:58:00
Király pizza	1	2005.11.17 21:35:00	2005.11.17 23:17:00
Babos	1	2005.11.17 22:17:00	2005.11.18 1:12:00
Popey	2	2005.11.17 22:17:00	2005.11.17 23:46:00
So-ku	2	2005.11.17 22:47:00	2005.11.17 23:50:00
Caribi	1	2005.11.17 23:05:00	2005.11.18 1:09:00
Nordic	1	2005.11.17 23:30:00	2005.11.18 2:21:00
Sonkás	3	2005.11.17 23:53:00	2005.11.18 3:03:00
Maffiózó	1	2005.11.18 0:38:00	2005.11.18 2:55:00
Barbecue chicken	1	2005.11.18 1:26:00	2005.11.18 4:03:00
Csabesz	1	2005.11.18 2:15:00	2005.11.18 3:06:00
Mixi	1	2005.11.18 2:37:00	2005.11.18 4:11:00
Király pizza	2	2005.11.18 3:05:00	2005.11.18 6:00:00
Mexikói	1	2005.11.18 3:37:00	2005.11.18 4:41:00
